API_Number,Well_Name,Operator,County,Date,Formation,Oil_Prod_BBL,Gas_Prod_MCF,Water_Prod_BBL,BHP_PSI,GOR,Choke_Size
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2020-04-25,Wolfcamp A,6947.81,26165.02,3018.55,3268.0,3766.0,32
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2020-05-25,Wolfcamp A,6495.36,24672.01,2835.05,3203.0,3798.0,32
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2020-06-24,Wolfcamp A,6130.47,23485.02,2688.11,3140.0,3831.0,24
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2020-07-24,Wolfcamp A,5938.2,22941.27,2615.75,3077.0,3863.0,24
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2020-08-23,Wolfcamp A,5516.45,21490.98,2441.07,3016.0,3896.0,32
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2020-09-22,Wolfcamp A,5492.46,21575.82,2441.5,2957.0,3928.0,32
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2020-10-22,Wolfcamp A,5130.66,20321.15,2290.99,2898.0,3961.0,48
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2020-11-21,Wolfcamp A,4824.59,19265.54,2164.03,2841.0,3993.0,48
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2020-12-21,Wolfcamp A,4807.54,19353.53,2166.05,2785.0,4026.0,32
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2021-01-20,Wolfcamp A,4608.54,18702.02,2085.66,2729.0,4058.0,64
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2021-02-19,Wolfcamp A,4361.93,17842.86,1982.83,2675.0,4091.0,24
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2021-03-21,Wolfcamp A,4254.0,17539.49,1942.32,2622.0,4123.0,48
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2021-04-20,Wolfcamp A,4032.48,16757.05,1849.29,2570.0,4156.0,64
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2021-05-20,Wolfcamp A,3868.39,16200.74,1781.82,2520.0,4188.0,48
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2021-06-19,Wolfcamp A,3734.48,15761.18,1727.65,2470.0,4220.0,48
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2021-07-19,Wolfcamp A,3757.52,15980.39,1745.86,2421.0,4253.0,24
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2021-08-18,Wolfcamp A,3614.34,15488.83,1686.61,2373.0,4285.0,32
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2021-09-17,Wolfcamp A,3456.25,14923.54,1619.79,2326.0,4318.0,24
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2021-10-17,Wolfcamp A,3345.65,14554.62,1574.69,2280.0,4350.0,64
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2021-11-16,Wolfcamp A,3289.15,14415.6,1554.71,2235.0,4383.0,48
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2021-12-16,Wolfcamp A,3106.45,13715.74,1474.6,2190.0,4415.0,32
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2022-01-15,Wolfcamp A,3070.73,13657.72,1463.82,2147.0,4448.0,48
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2022-02-14,Wolfcamp A,2913.98,13055.15,1394.96,2104.0,4480.0,24
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2022-03-16,Wolfcamp A,2880.18,12997.21,1384.57,2063.0,4513.0,24
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2022-04-15,Wolfcamp A,2802.23,12736.39,1352.73,2022.0,4545.0,24
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2022-05-15,Wolfcamp A,2724.03,12469.41,1320.46,1982.0,4578.0,48
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2022-06-14,Wolfcamp A,2656.53,12246.69,1293.09,1943.0,4610.0,24
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2022-07-14,Wolfcamp A,2593.6,12040.78,1267.67,1904.0,4642.0,24
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2022-08-13,Wolfcamp A,2583.75,12078.91,1268.05,1867.0,4675.0,24
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2022-09-12,Wolfcamp A,2467.48,11615.5,1215.96,1830.0,4707.0,32
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2022-10-12,Wolfcamp A,2394.82,11351.2,1184.97,1793.0,4740.0,32
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2022-11-11,Wolfcamp A,2439.81,11643.63,1212.13,1758.0,4772.0,32
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2022-12-11,Wolfcamp A,2290.39,11004.9,1142.51,1723.0,4805.0,24
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2023-01-10,Wolfcamp A,2236.59,10819.0,1120.17,1689.0,4837.0,24
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2023-02-09,Wolfcamp A,2216.24,10792.55,1114.44,1655.0,4870.0,32
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2023-03-11,Wolfcamp A,2246.12,11010.94,1133.98,1623.0,4902.0,24
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2023-04-10,Wolfcamp A,2123.01,10476.38,1076.09,1591.0,4935.0,32
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2023-05-10,Wolfcamp A,2056.13,10213.1,1046.33,1559.0,4967.0,48
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2023-06-09,Wolfcamp A,2114.4,10571.18,1080.24,1528.0,5000.0,64
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2023-07-09,Wolfcamp A,2068.13,10406.97,1060.76,1498.0,5032.0,32
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2023-08-08,Wolfcamp A,1984.49,10050.54,1021.85,1468.0,5065.0,48
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2023-09-07,Wolfcamp A,1940.45,9890.48,1003.07,1439.0,5097.0,32
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2023-10-07,Wolfcamp A,1933.56,9918.13,1003.4,1411.0,5129.0,48
42-133-23509,MIDLAND_UNIT_101H,Pioneer,Midland,2023-11-06,Wolfcamp A,1873.32,9669.98,975.91,1383.0,5162.0,24
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2019-01-01,Avalon Shale,71255.38,215848.28,15446.82,4500.0,3029.0,64
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2019-01-31,Avalon Shale,54643.84,167183.56,11904.98,4411.0,3060.0,48
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2019-03-02,Avalon Shale,45169.78,139565.83,9889.88,4324.0,3090.0,24
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2019-04-01,Avalon Shale,36990.76,115414.76,8139.18,4238.0,3120.0,32
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2019-05-01,Avalon Shale,30991.96,97636.75,6852.84,4154.0,3150.0,24
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2019-05-31,Avalon Shale,27791.17,88394.88,6175.22,4072.0,3181.0,48
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2019-06-30,Avalon Shale,24407.84,78372.95,5449.89,3991.0,3211.0,32
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2019-07-30,Avalon Shale,21120.55,68457.33,4738.78,3912.0,3241.0,32
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2019-08-29,Avalon Shale,19386.84,63425.17,4370.81,3835.0,3272.0,24
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2019-09-28,Avalon Shale,18034.85,59548.4,4085.55,3759.0,3302.0,32
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2019-10-28,Avalon Shale,16176.55,53902.57,3682.11,3684.0,3332.0,24
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2019-11-27,Avalon Shale,14816.37,49819.08,3388.56,3611.0,3362.0,48
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2019-12-27,Avalon Shale,13810.7,46855.95,3173.53,3540.0,3393.0,48
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2020-01-26,Avalon Shale,12652.18,43308.67,2921.03,3470.0,3423.0,24
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2020-02-25,Avalon Shale,11859.67,40955.14,2750.92,3401.0,3453.0,32
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2020-03-26,Avalon Shale,10748.08,37442.05,2504.73,3334.0,3484.0,64
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2020-04-25,Avalon Shale,10256.83,36041.45,2401.37,3268.0,3514.0,48
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2020-05-25,Avalon Shale,9718.81,34445.29,2285.94,3203.0,3544.0,24
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2020-06-24,Avalon Shale,9201.68,32891.22,2174.28,3140.0,3574.0,32
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2020-07-24,Avalon Shale,8654.55,31197.68,2054.38,3077.0,3605.0,48
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2020-08-23,Avalon Shale,8302.66,30180.72,1979.85,3016.0,3635.0,64
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2020-09-22,Avalon Shale,7982.35,29258.17,1912.12,2957.0,3665.0,64
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2020-10-22,Avalon Shale,7364.42,27216.31,1772.08,2898.0,3696.0,48
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2020-11-21,Avalon Shale,7104.17,26469.7,1717.15,2841.0,3726.0,32
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2020-12-21,Avalon Shale,6833.75,25669.16,1659.2,2785.0,3756.0,24
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2021-01-20,Avalon Shale,6431.03,24351.27,1568.39,2729.0,3787.0,32
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2021-02-19,Avalon Shale,6239.54,23815.2,1528.45,2675.0,3817.0,32
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2021-03-21,Avalon Shale,5978.71,23000.75,1471.04,2622.0,3847.0,32
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2021-04-20,Avalon Shale,5660.39,21947.62,1398.86,2570.0,3877.0,48
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2021-05-20,Avalon Shale,5660.39,21101.92,1340.38,2520.0,3728.0,24
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2021-06-19,Avalon Shale,5660.39,20798.14,1316.65,2470.0,3674.0,32
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2021-07-19,Avalon Shale,5660.39,19976.75,1260.45,2421.0,3529.0,64
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2021-08-18,Avalon Shale,5660.39,19980.84,1256.57,2373.0,3530.0,24
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2021-09-17,Avalon Shale,4739.71,19095.63,1197.01,2326.0,4029.0,48
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2021-10-17,Avalon Shale,4537.5,18418.4,1150.86,2280.0,4059.0,48
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2021-11-16,Avalon Shale,4330.4,17708.93,1103.03,2235.0,4089.0,32
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2021-12-16,Avalon Shale,4378.54,18038.45,1120.04,2190.0,4120.0,24
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2022-01-15,Avalon Shale,4091.03,16977.9,1050.93,2147.0,4150.0,24
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2022-02-14,Avalon Shale,4093.61,17112.63,1056.03,2104.0,4180.0,64
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2022-03-16,Avalon Shale,3828.63,16120.91,991.82,2063.0,4211.0,64
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2022-04-15,Avalon Shale,3832.3,16252.42,996.92,2022.0,4241.0,64
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2022-05-15,Avalon Shale,3611.19,15424.12,943.32,1982.0,4271.0,24
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2022-06-14,Avalon Shale,3626.92,15601.16,951.36,1943.0,4301.0,32
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2022-07-14,Avalon Shale,3559.95,15420.96,937.65,1904.0,4332.0,64
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2022-08-13,Avalon Shale,3479.75,15178.92,920.3,1867.0,4362.0,32
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2022-09-12,Avalon Shale,3312.41,14549.33,879.63,1830.0,4392.0,32
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2022-10-12,Avalon Shale,3172.05,14028.91,845.8,1793.0,4423.0,32
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2022-11-11,Avalon Shale,3092.49,13770.71,827.94,1758.0,4453.0,64
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2022-12-11,Avalon Shale,3123.17,14001.92,839.53,1723.0,4483.0,32
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2023-01-10,Avalon Shale,2930.89,13228.7,791.03,1689.0,4514.0,64
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2023-02-09,Avalon Shale,2862.48,13006.63,775.66,1655.0,4544.0,24
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2023-03-11,Avalon Shale,2850.14,13036.91,775.41,1623.0,4574.0,64
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2023-04-10,Avalon Shale,2846.84,13108.04,777.6,1591.0,4604.0,32
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2023-05-10,Avalon Shale,2735.01,12675.97,750.02,1559.0,4635.0,24
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2023-06-09,Avalon Shale,2728.72,12729.49,751.25,1528.0,4665.0,64
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2023-07-09,Avalon Shale,2601.38,12214.26,719.01,1498.0,4695.0,64
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2023-08-08,Avalon Shale,2596.03,12267.76,720.35,1468.0,4726.0,64
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2023-09-07,Avalon Shale,2439.03,11599.74,679.43,1439.0,4756.0,48
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2023-10-07,Avalon Shale,2475.41,11847.73,692.24,1411.0,4786.0,24
42-353-65491,REEVES_UNIT_102H,AstraCore,Reeves,2023-11-06,Avalon Shale,2343.56,11287.65,657.91,1383.0,4816.0,64
42-441-20014,LOVING_UNIT_103H,Chevron,Loving,2019-01-01,Bone Spring,47823.02,163317.4,17972.33,4500.0,3415.0,32
42-441-20014,LOVING_UNIT_103H,Chevron,Loving,2019-01-31,Bone Spring,39271.08,135453.34,14832.22,4411.0,3449.0,64
42-441-20014,LOVING_UNIT_103H,Chevron,Loving,2019-03-02,Bone Spring,31729.55,110524.74,12043.5,4324.0,3483.0,48
42-441-20014,LOVING_UNIT_103H,Chevron,Loving,2019-04-01,Bone Spring,27658.54,97288.61,10550.25,4238.0,3517.0,64
42-441-20014,LOVING_UNIT_103H,Chevron,Loving,2019-05-01,Bone Spring,23997.04,85228.83,9198.68,4154.0,3552.0,48
42-441-20014,LOVING_UNIT_103H,Chevron,Loving,2019-05-31,Bone Spring,21524.38,77181.9,8291.29,4072.0,3586.0,48
42-441-20014,LOVING_UNIT_103H,Chevron,Loving,2019-06-30,Bone Spring,19121.84,69219.92,7401.75,3991.0,3620.0,64
42-441-20014,LOVING_UNIT_103H,Chevron,Loving,2019-07-30,Bone Spring,17407.76,63609.52,6770.97,3912.0,3654.0,24
42-441-20014,LOVING_UNIT_103H,Chevron,Loving,2019-08-29,Bone Spring,15512.56,57214.06,6062.95,3835.0,3688.0,24
